S no,name,latitude,longitude,delivery_review_number,location
0,Cafe Delhi Heights,12.9724788,77.6071299,44,"Forum Rex Walk, Bangalore"
1,Ouro,12.97243941,77.60685536,0,"Forum Rex Walk, Bangalore"
2,The Bier Library,12.93898273,77.62626976,695,"Koramangala 6th Block, Bangalore"
3,Bombay Borough,12.966775,77.6083056,55,"Richmond Road, Bangalore"
4,Pangeo,12.9726391,77.6065987,0,"Forum Rex Walk, Bangalore"
5,Over Coffee Cafe & Wine Bar,12.9749781,77.5995181,15,"Lavelle Road, Bangalore"
6,Farzi Cafe,12.9721921,77.5958051,144,"UB City, Bangalore"
7,Mayuri,12.91292201,77.58581333,"3,146","JP Nagar, Bangalore"
8,ShakesBierre,12.97107305,77.60695986,117,"Eva Mall, Brigade Road, Bangalore"
9,No Limmits Lounge And Club,12.97018666,77.61078335,0,"Brigade Road, Bangalore"
10,Sarjapur SOCIAL,12.91002951,77.6855392,"3,376","Sarjapur Road, Bangalore"
11,KOKO,12.960251,77.647728,4,"Old Airport Road, Bangalore"
12,Feast - Sheraton Grand Bangalore Hotel at Brigade Gateway,13.01281078,77.55503565,112,"Sheraton Grand Bangalore Hotel at Brigade Gateway, Bangalore"
13,Lono,12.97522303,77.64714036,112,"Indiranagar, Bangalore"
14,Toit,12.97925075,77.64055453,"1,051","Indiranagar, Bangalore"
15,Foo Brigade Road,12.9724479,77.6068567,304,"Forum Rex Walk, Bangalore"
16,RCB Bar & Cafe,12.97549192,77.60292549,201,"1 Sobha, Bangalore"
17,2 MOONS,12.97326387,77.62036792,2,"1 MG Road Mall, MG Road, Bangalore"
18,Roxie,12.9151978,77.6658216,73,"Sarjapur Road, Bangalore"
19,Maffei Kitchen,12.93506828,77.6228172,357,"Koramangala 5th Block, Bangalore"
20,Amintiri,12.973678,77.603306,0,"Church Street, Bangalore"
21,Citrus - The Leela Palace,12.96095266,77.64919963,142,"The Leela Palace, Old Airport Road, Bangalore"
22,Long Boat Brewing Co.,12.95204763,77.70038464,647,"Marathahalli, Bangalore"
23,Muro,12.97440703,77.60311859,0,"Church Street, Bangalore"
24,Ministry of Food - Hilton Bangalore Embassy GolfLinks,12.94911741,77.6455069,212,"Hilton Bangalore Embassy GolfLinks, Domlur, Bangalore"
25,Jugni Kitchen & Bar,12.93601878,77.62160953,0,"Koramangala 5th Block, Bangalore"
26,Oia,13.07374381,77.65255609,0,"Hennur, Bangalore"
27,Just BLR,12.97327934,77.60730941,0,"Brigade Road, Bangalore"
28,Tim Hortons,12.93991056,77.61966833,537,"Koramangala 8th Block, Bangalore"
29,Jook Taproom,12.9833046,77.6402794,49,"Indiranagar, Bangalore"
30,Jamavar - The Leela Palace,12.96103435,77.64916476,0,"The Leela Palace, Old Airport Road, Bangalore"
31,XOOX Brewmill,12.9355347,77.61521403,175,"Koramangala 5th Block, Bangalore"
32,Uru Brewpark,12.90616506,77.60162193,"4,083","JP Nagar, Bangalore"
